Ticker,Weightage,2023-04-24,2023-04-25,2023-04-26
ADANIPORTS.NS,0.0082,122.15105254446851,122.12375990949653,123.3639214323646
APOLLOHOSP.NS,0.0061,13.866630924705643,13.81184197011208,13.830945359078148
ASIANPAINT.NS,0.0195,67.44837383979964,67.28778474637681,67.01030934536082
AXISBANK.NS,0.0257,291.28414803662554,292.59407684910354,289.5285227155214
BAJAJFINSV.NS,0.012,90.92631189240386,89.16629199448442,89.90784783848927
BAJFINANCE.NS,0.0237,39.94101541807457,39.01074033776387,39.13506429105801
BHARTIARTL.NS,0.0233,306.47813249983557,301.57909344521204,301.2476521503142
BPCL.NS,0.0046,264.9769494741305,264.74820170359715,263.6103154498567
BRITANNIA.NS,0.0052,12.062166562746462,11.811337147539898,11.804767321679908
CIPLA.NS,0.0068,75.30454049612402,74.75402434227513,74.63505859965424
COALINDIA.NS,0.0051,220.2548018952092,221.49837155700328,221.9804137149075
DIVISLAB.NS,0.0077,24.11638433433589,23.865239269877076,23.913043502173913
DRREDDY.NS,0.0067,69.70308785614391,69.31082482814504,69.14201844809183
EICHERMOT.NS,0.0049,15.395249245092007,15.227085813176105,15.084580964457766
GRASIM.NS,0.0085,50.51676819036186,50.590139637730374,50.22392393997566
HCLTECH.NS,0.0153,145.15439786099608,145.2370850487964,143.58781206126073
HDFCBANK.NS,0.081,479.81517584086856,486.7349631504505,484.50770256753043
HDFCLIFE.NS,0.0072,131.49484371685082,135.91316672392637,135.44018694252293
HEROMOTOCO.NS,0.0043,17.19277871434352,17.21549396176559,17.16464152614994
HINDALCO.NS,0.0094,219.72885174435942,218.70638148849613,221.2806092165238
HINDUNILVR.NS,0.0267,106.81068117491749,107.20954265367341,106.34060660928293
ICICIBANK.NS,0.069,762.6416144680851,755.3779533297693,754.1395611609321
INDUSINDBK.NS,0.0085,77.13248646551725,75.77445962558502,74.7055690255468
INFY.NS,0.0766,624.643211502767,625.3571601751091,624.0071445537055
ITC.NS,0.0303,741.3750703523644,736.2410625448126,734.9909043129169
JSWSTEEL.NS,0.0094,130.4921264383188,129.6551725434483,129.93295805916694
KOTAKBANK.NS,0.0351,185.00461212333641,185.7830896520193,186.84126738664665
LT.NS,0.0274,122.93059907530231,121.8888348164342,120.37871494837066
MARUTI.NS,0.0137,16.182089121486325,16.176834514272695,16.104573210705556
NESTLEIND.NS,0.0087,42.05072330217125,42.09976156279108,41.37685040699126
NTPC.NS,0.0099,579.116711707072,578.6089805227999,582.8672154339762
ONGC.NS,0.0078,486.7394700655226,485.5275632830692,484.0211171717682
POWERGRID.NS,0.0104,597.8300136688356,595.3914314413026,581.8995470827641
RELIANCE.NS,0.1286,1181.74995022642,1172.772744081251,1179.6987997805318
SBILIFE.NS,0.0065,58.7862918833539,58.77831667949314,58.1239356406306
SBIN.NS,0.0254,457.98775953000677,452.11820180317017,448.4859383832678
SHREECEM.NS,0.0046,1.927076930114742,1.9104259128405492,1.919666146937924
SUNPHARMA.NS,0.0134,136.85338997380666,137.78920322262212,137.9665381045045
TATACONSUM.NS,0.0066,90.09624075599976,89.86316150730148,88.38890985273042
TATAMOTORS.NS,0.0105,220.95959050450205,221.72949595957954,219.57339486545527
TATASTEEL.NS,0.0137,1286.3849778122064,1279.775770494482,1282.1712877252046
TCS.NS,0.0491,154.65540914056518,154.59697748457177,153.52626220902678
TECHM.NS,0.0105,104.36338599834433,105.31594794884654,105.38994418498278
TITAN.NS,0.0137,52.10016831512862,52.02795179911413,51.874290093525175
ULTRACEMCO.NS,0.0102,13.708664383610556,13.711151390477571,13.678606584210788
UPL.NS,0.006,82.2086758471573,83.9571790530528,83.8750291573778
WIPRO.NS,0.0101,534.4622137261623,537.7346026462706,539.3138613947968
